microvolts,trialstart,oddball
20.1874,5,0
22.5983,5,0
24.3835,5,0
25.65,5,0
26.3977,5,0
28.3661,5,0
30.2734,5,0
31.8298,5,0
32.8064,5,0
32.2571,5,0
30.6244,5,0
29.3274,5,0
27.8778,5,0
25.6805,5,0
22.1863,5,0
17.2424,5,0
11.9629,5,0
8.10242,5,0
6.97327,5,0
8.94165,5,0
11.5204,5,0
14.1144,5,0
15.5487,5,0
15.8997,5,0
15.4572,5,0
15.0604,5,0
13.9771,5,0
12.5427,5,0
11.5509,5,0
11.3373,5,0
11.8256,5,0
12.9852,5,0
13.4735,5,0
13.2446,5,0
13.1989,5,0
13.3972,5,0
13.5498,5,0
14.9689,5,0
16.2354,5,0
17.5018,5,0
19.3024,5,0
20.2942,5,0
20.5383,5,0
20.5231,5,0
19.6075,5,0
17.6239,5,0
14.267,5,0
10.4828,5,0
7.24792,5,0
5.76782,5,0
6.24084,5,0
6.83594,5,0
8.30078,5,0
9.38416,5,0
9.73511,5,0
9.44519,5,0
8.01086,5,0
6.14929,5,0
5.05066,5,0
5.61523,5,0
7.90405,5,0
11.0626,5,0
14.3127,5,0
16.7542,5,0
18.0206,5,0
17.9291,5,0
16.51,5,0
15.2588,5,0
14.5416,5,0
14.0381,5,0
13.7634,5,0
12.6648,5,0
9.94873,5,0
6.17981,5,0
2.65503,5,0
0.0762939,5,0
-0.0457764,5,0
1.77002,5,0
4.54712,5,0
7.17163,5,0
9.32312,5,0
10.8795,5,0
11.1237,5,0
10.3912,5,0
8.60596,5,0
5.66101,5,0
4.15039,5,0
4.76074,5,0
6.5155,5,0
9.00269,5,0
11.4136,5,0
11.9324,5,0
11.8256,5,0
11.2,5,0
10.6049,5,0
10.4828,5,0
10.6506,5,0
10.5743,5,0
10.025,5,0
8.95691,5,0
8.27026,5,0
8.49915,5,0
8.89587,5,0
9.33838,5,0
9.35364,5,0
8.74329,5,0
8.68225,5,0
8.94165,5,0
9.42993,5,0
10.025,5,0
9.8114,5,0
10.4523,5,0
11.795,5,0
13.6871,5,0
17.1356,5,0
21.8506,5,0
26.0468,5,0
27.6031,5,0
26.5503,5,0
22.1252,5,0
16.9983,5,0
13.9008,5,0
12.5275,5,0
11.5051,5,0
10.3455,5,0
10.2844,5,0
10.8948,5,0
12.1307,5,0
12.8326,5,0
11.6577,5,0
9.26208,5,0
7.27844,5,0
6.94275,5,0
8.89587,5,0
12.0697,5,0
14.6942,5,0
16.1285,5,0
16.2811,5,0
15.686,5,0
15.7166,5,0
16.6931,5,0
19.0125,5,0
21.7285,5,0
23.4222,5,0
23.5291,5,0
21.8506,5,0
19.8364,5,0
18.5394,5,0
18.6157,5,0
20.5231,5,0
21.2402,5,0
21.8811,5,0
21.8353,5,0
20.9045,5,0
19.9127,5,0
19.3329,5,0
20.1263,5,0
21.8353,5,0
23.3459,5,0
22.5372,5,0
18.9819,5,0
15.2893,5,0
13.9771,5,0
15.7928,5,0
18.9362,5,0
19.8364,5,0
17.1356,5,0
12.6648,5,0
8.54492,5,0
7.06482,5,0
8.5144,5,0
11.3068,5,0
14.1907,5,0
15.4114,5,0
14.5569,5,0
11.5051,5,0
8.40759,5,0
7.27844,5,0
8.81958,5,0
12.5122,5,0
17.0593,5,0
19.9432,5,0
20.874,5,0
20.8588,5,0
20.5841,5,0
21.4233,5,0
22.995,5,0
24.8566,5,0
26.2604,5,0
26.886,5,0
26.886,5,0
26.1993,5,0
25.0397,5,0
22.6898,5,0
20.0043,5,0
17.8833,5,0
17.8528,5,0
20.8588,5,0
25.5737,5,0
30.9296,5,0
34.0424,5,0
33.783,5,0
31.6315,5,0
28.244,5,0
25.3906,5,0
24.0479,5,0
23.9105,5,0
23.7122,5,0
22.7203,5,0
19.8669,5,0
16.5558,5,0
13.5651,5,0
12.558,5,0
13.7024,5,0
16.1133,5,0
18.4021,5,0
20.1874,5,0
20.7214,5,0
20.0806,5,0
19.2413,5,0
18.3258,5,0
18.3716,5,0
19.9585,5,0
22.995,5,0
25.9857,5,0
28.2288,5,0
29.2664,5,0
29.9835,5,0
29.5715,5,0
28.5645,5,0
26.0315,5,0
21.6522,5,0
17.746,5,0
14.3127,5,0
13.1531,5,0
13.4735,5,0
14.6484,5,0
16.5863,5,0
18.0054,5,0
18.9819,5,0
19.3939,5,0
19.3481,5,0
20.1263,5,0
21.698,5,0
24.353,5,0
26.7792,5,0
27.7863,5,0
27.2369,5,0
26.1536,5,0
25.6195,5,0
24.6429,5,0
23.6664,5,0
21.4691,5,0
18.5089,5,0
16.5558,5,0
15.2893,5,0
14.1907,5,0
13.2141,5,0
12.6801,0,0
13.1073,0,0
15.2283,0,0
18.5089,0,0
21.3928,0,0
25.1617,0,0
28.8391,0,0
31.1127,0,0
32.0129,0,0
30.4871,0,0
28.4576,0,0
27.4658,0,0
27.8778,0,0
29.068,0,0
29.8615,0,0
28.9001,0,0
26.4282,0,0
22.6593,0,0
18.3105,0,0
14.74,0,0
13.1073,0,0
13.4583,0,0
15.4877,0,0
17.5018,0,0
19.2566,0,0
20.2942,0,0
21.0724,0,0
21.5607,0,0
21.2097,0,0
20.0348,0,0
17.6239,0,0
15.4724,0,0
14.0686,0,0
14.6332,0,0
16.7084,0,0
20.4468,0,0
23.3307,0,0
24.4904,0,0
23.3459,0,0
20.1111,0,0
15.7471,0,0
12.4664,0,0
10.5591,0,0
9.87244,0,0
10.2539,0,0
10.2386,0,0
9.01794,0,0
6.45447,0,0
2.85339,0,0
-0.152588,0,0
-1.52588,0,0
-0.457764,0,0
3.50952,0,0
9.30786,0,0
15.3503,0,0
20.0195,0,0
21.8964,0,0
21.7438,0,0
20.0653,0,0
19.3176,0,0
19.9585,0,0
21.3928,0,0
24.231,0,0
25.7874,0,0
26.2604,0,0
24.0631,0,0
20.9656,0,0
17.9749,0,0
15.7013,0,0
14.7705,0,0
14.6942,0,0
14.8468,0,0
16.098,0,0
18.219,0,0
20.9351,0,0
23.1476,0,0
24.2004,0,0
23.8495,0,0
22.11,0,0
20.1569,0,0
19.3787,0,0
19.7754,0,0
21.8811,0,0
24.4751,0,0
26.2604,0,0
27.3895,0,0
27.5574,0,0
26.4893,0,0
25.177,0,0
23.3002,0,0
21.3623,0,0
20.6909,0,0
21.4844,0,0
22.7661,0,0
24.0021,0,0
25.1312,0,0
24.3988,0,0
22.6898,0,0
21.0571,0,0
20.1416,0,0
20.8435,0,0
22.1405,0,0
23.1476,0,0
23.5138,0,0
23.5596,0,0
23.7122,0,0
23.4375,0,0
22.4304,0,0
20.0348,0,0
17.6544,0,0
17.334,0,0
18.7683,0,0
20.3247,0,0
21.4691,0,0
20.3094,0,0
18.4174,0,0
17.2729,0,0
17.1661,0,0
16.6626,0,0
16.4948,0,0
14.1602,0,0
11.1694,0,0
8.28552,0,0
6.63757,0,0
7.21741,0,0
9.91821,0,0
13.3362,0,0
15.8691,0,0
16.6779,0,0
15.3046,0,0
13.5345,0,0
12.2375,0,0
12.558,0,0
13.7024,0,0
14.328,0,0
13.2446,0,0
10.3912,0,0
7.59888,0,0
6.11877,0,0
6.01196,0,0
6.74438,0,0
7.73621,0,0
8.02612,0,0
7.98035,0,0
8.68225,0,0
9.93347,0,0
11.9781,0,0
14.4501,0,0
16.8304,0,0
18.4784,0,0
19.8364,0,0
20.462,0,0
20.7062,0,0
20.7214,0,0
19.6228,0,0
18.1122,0,0
17.0135,0,0
16.3422,0,0
17.0288,0,0
18.3868,0,0
19.8669,0,0
20.4773,0,0
19.4855,0,0
18.1427,0,0
16.7389,0,0
15.5334,0,0
14.9689,0,0
14.8773,0,0
16.2964,0,0
17.3492,0,0
18.7225,0,0
19.8822,0,0
20.8435,0,0
21.5607,0,0
21.9421,0,0
20.5536,0,0
17.4713,0,0
13.3667,0,0
10.1318,0,0
9.59778,0,0
11.4594,0,0
14.9994,0,0
19.4092,0,0
22.4762,0,0
23.2697,0,0
21.5912,0,0
18.0969,0,0
14.267,0,0
11.5662,0,0
11.3373,0,0
13.7787,0,0
16.5863,0,0
18.5394,0,0
18.7073,0,0
16.2964,0,0
13.4125,0,0
11.673,0,0
12.2375,0,0
15.3656,0,0
19.4092,0,0
22.0184,0,0
23.3765,0,0
23.6053,0,0
23.1476,0,0
22.5983,0,0
22.0947,0,0
20.5078,0,0
18.3258,0,0
17.0288,0,0
16.1591,0,0
15.4877,0,0
14.5569,0,0
13.6414,0,0
13.7177,0,0
14.5111,0,0
16.7236,0,0
18.6462,0,0
18.7073,0,0
16.6016,0,0
12.5275,0,0
8.08716,0,0
4.68445,0,0
3.38745,0,0
4.39453,0,0
6.86646,0,0
9.39941,0,0
12.2375,0,0
14.3127,0,0
15.6708,0,0
16.0217,0,0
15.3809,0,0
13.6414,0,0
12.6495,0,0
11.5662,0,0
10.437,0,0
10.1013,0,0
9.71985,0,0
10.4675,0,0
11.9629,0,0
13.2599,0,0
13.4583,0,0
13.1378,0,0
12.7869,0,0
13.443,0,0
14.4501,0,0
15.6708,0,0
16.6016,0,0
17.0898,0,0
17.6239,0,0
17.6849,0,0
16.922,0,0
15.4572,0,0
12.6495,0,0
9.32312,0,0
7.33948,5,0
7.50732,5,0
9.75037,5,0
13.1378,5,0
18.28,5,0
22.4457,5,0
27.0996,5,0
30.7159,5,0
32.2876,5,0
31.4484,5,0
28.8391,5,0
25.7874,5,0
23.1628,5,0
21.7896,5,0
22.9034,5,0
25.0092,5,0
27.6642,5,0
30.2429,5,0
31.3873,5,0
30.9601,5,0
29.6326,5,0
27.6184,5,0
24.6277,5,0
21.1945,5,0
17.8375,5,0
15.625,5,0
15.1978,5,0
16.1591,5,0
17.6697,5,0
18.6005,5,0
18.6005,5,0
19.0887,5,0
19.989,5,0
20.3705,5,0
19.8364,5,0
17.2577,5,0
14.4196,5,0
12.7869,5,0
13.0768,5,0
15.976,5,0
20.1874,5,0
23.88,5,0
25.9247,5,0
25.5127,5,0
22.5067,5,0
18.7531,5,0
16.037,5,0
15.3503,5,0
16.983,5,0
20.8435,5,0
25.2533,5,0
28.6102,5,0
28.9764,5,0
26.4435,5,0
22.9645,5,0
20.6604,5,0
20.5994,5,0
22.8119,5,0
25.3143,5,0
27.0996,5,0
28.0151,5,0
28.7323,5,0
28.3203,5,0
26.2146,5,0
23.3002,5,0
20.5383,5,0
19.989,5,0
21.759,5,0
24.5972,5,0
26.9318,5,0
28.3966,5,0
28.244,5,0
28.5797,5,0
28.7323,5,0
27.5116,5,0
24.826,5,0
21.7896,5,0
19.8059,5,0
19.6838,5,0
21.0419,5,0
22.3236,5,0
22.8424,5,0
22.1558,5,0
20.8588,5,0
18.9056,5,0
15.8997,5,0
11.8866,5,0
9.78088,5,0
10.0555,5,0
12.8326,5,0
17.3492,5,0
21.0114,5,0
23.819,5,0
24.765,5,0
25.0854,5,0
25.2075,5,0
25.528,5,0
26.9318,5,0
29.5258,5,0
32.7911,5,0
35.0494,5,0
35.553,5,0
34.4391,5,0
31.1279,5,0
26.9928,5,0
22.5677,5,0
19.3634,5,0
18.1122,5,0
19.6533,5,0
22.9492,5,0
26.4282,5,0
28.7323,5,0
28.5034,5,0
26.5961,5,0
23.4375,5,0
20.9045,5,0
21.2097,5,0
23.056,5,0
24.4293,5,0
25.0702,5,0
24.7192,5,0
24.3225,5,0
25.7111,5,0
27.8473,5,0
29.3884,5,0
29.3427,5,0
28.3966,5,0
27.3285,5,0
26.5656,5,0
26.535,5,0
25.8026,5,0
24.4446,5,0
21.7743,5,0
19.1956,5,0
17.7307,5,0
17.5171,5,0
18.0817,5,0
17.6697,5,0
16.4032,5,0
15.7166,5,0
16.4185,5,0
19.2566,5,0
23.1323,5,0
25.6653,5,0
26.474,5,0
25.3296,5,0
23.5291,5,0
22.3999,5,0
22.8882,5,0
23.5596,5,0
24.4751,5,0
24.6429,5,0
23.9105,5,0
23.6359,5,0
23.88,5,0
24.4904,5,0
25.5127,5,0
25.8179,5,0
26.9928,5,0
28.7933,5,0
30.3955,5,0
31.7688,5,0
32.1198,5,0
31.0669,5,0
29.8004,5,0
29.3884,5,0
29.1443,5,0
29.5868,5,0
29.48,5,0
29.7394,5,0
29.7546,5,0
28.7781,5,0
26.825,5,0
24.6582,5,0
21.7133,5,0
20.3552,5,0
19.1803,5,0
18.5394,5,0
18.5242,5,0
19.8212,5,0
23.4222,5,0
27.6184,5,0
31.2042,5,0
32.7606,5,0
31.8756,5,0
30.4413,5,0
29.8157,5,0
30.1361,5,0
30.5786,5,0
30.2887,5,0
27.9999,5,0
25.177,5,0
23.407,5,0
22.8271,5,0
23.4222,5,0
24.6124,5,0
25.6653,5,0
26.4587,5,0
26.9318,5,0
26.001,5,0
23.9563,5,0
19.9585,5,0
16.1896,5,0
13.7329,5,0
12.9395,5,0
14.5264,5,0
16.2354,5,0
17.5934,5,0
18.3868,5,0
17.5629,5,0
17.0746,5,0
16.7999,5,0
16.983,5,0
17.7307,5,0
19.4702,5,0
22.11,5,0
23.5138,5,0
23.2086,5,0
22.5525,5,0
21.4844,5,0
22.049,5,0
24.2004,5,0
26.0315,5,0
26.7181,5,0
25.3143,5,0
23.6359,5,0
22.3236,5,0
21.4081,5,0
21.2402,5,0
21.4691,5,0
22.2931,5,0
23.9258,5,0
26.1993,5,0
28.8086,5,0
30.2429,5,0
29.9988,5,0
29.5563,5,0
27.8931,5,0
26.413,5,0
23.5901,5,0
21.8353,5,0
20.7367,5,0
20.2942,5,0
21.759,5,0
22.5677,5,0
22.1863,5,0
21.7133,5,0
21.3318,5,0
21.5302,5,0
22.0795,5,0
21.8811,5,0
19.989,5,0
16.3727,5,0
12.619,5,0
10.7269,5,0
11.9781,5,0
15.5792,5,0
20.5841,5,0
24.6735,0,0
26.5045,0,0
25.8789,0,0
23.468,0,0
19.928,0,0
16.9067,0,0
15.0757,0,0
14.2517,0,0
14.4958,0,0
14.1602,0,0
13.382,0,0
11.5356,0,0
9.04846,0,0
6.88171,0,0
5.70679,0,0
5.84412,0,0
7.46155,0,0
9.79614,0,0
11.261,0,0
12.1002,0,0
11.6882,0,0
10.9253,0,0
10.788,0,0
12.0392,0,0
12.7106,0,0
13.1683,0,0
14.0991,0,0
14.8163,0,0
15.3046,0,0
15.3503,0,0
14.2822,0,0
12.4207,0,0
11.2457,0,0
11.1084,0,0
11.4136,0,0
11.9934,0,0
13.5498,0,0
15.0604,0,0
17.0135,0,0
18.2495,0,0
18.4784,0,0
17.5476,0,0
15.274,0,0
12.2833,0,0
9.39941,0,0
7.8125,0,0
8.05664,0,0
9.82666,0,0
10.3912,0,0
8.97217,0,0
6.11877,0,0
3.17383,0,0
2.22778,0,0
4.54712,0,0
9.20105,0,0
14.6942,0,0
18.692,0,0
20.8588,0,0
21.2097,0,0
20.9351,0,0
21.759,0,0
23.3459,0,0
24.7498,0,0
24.7803,0,0
22.5067,0,0
18.2343,0,0
12.3291,0,0
6.68335,0,0
3.05176,0,0
2.63977,0,0
5.34058,0,0
8.97217,0,0
11.4288,0,0
11.5814,0,0
9.06372,0,0
7.12585,0,0
5.14221,0,0
4.57764,0,0
4.5929,0,0
4.86755,0,0
4.88281,0,0
5.20325,0,0
6.66809,0,0
9.52148,0,0
13.7634,0,0
18.3716,0,0
22.0184,0,0
23.0865,0,0
22.171,0,0
20.1111,0,0
17.868,0,0
16.6931,0,0
16.1896,0,0
15.3351,0,0
13.3057,0,0
10.3149,0,0
6.57654,0,0
4.79126,0,0
4.776,0,0
6.36292,0,0
8.72803,0,0
10.9711,0,0
12.7563,0,0
13.9313,0,0
15.2435,0,0
16.2354,0,0
17.2424,0,0
18.7225,0,0
20.0195,0,0
21.0571,0,0
21.9879,0,0
22.583,0,0
22.7661,0,0
22.3389,0,0
20.8588,0,0
18.6005,0,0
16.2659,0,0
14.1296,0,0
12.8937,0,0
13.6108,0,0
16.037,0,0
18.7531,0,0
21.1639,0,0
21.5759,0,0
20.3247,0,0
18.692,0,0
17.7917,0,0
18.1885,0,0
20.1111,0,0
23.3765,0,0
26.3367,0,0
28.4576,0,0
27.8015,0,0
25.8026,0,0
23.9105,0,0
22.5372,0,0
21.9574,0,0
21.0419,0,0
20.8893,0,0
21.0114,0,0
22.2473,0,0
23.4528,0,0
24.0631,0,0
23.1171,0,0
22.4762,0,0
22.7051,0,0
22.5525,0,0
22.0032,0,0
21.3165,0,0
19.6686,0,0
18.7073,0,0
18.8293,0,0
19.3024,0,0
19.7906,0,0
20.6299,0,0
22.11,0,0
24.8413,0,0
28.4271,0,0
31.2042,0,0
32.5012,0,0
31.8604,0,0
28.9154,0,0
25.0092,0,0
20.6451,0,0
16.6321,0,0
13.3057,0,0
12.3749,0,0
13.0463,0,0
14.6637,0,0
17.7307,0,0
21.1639,0,0
24.704,0,0
27.3895,0,0
28.9917,0,0
28.4576,0,0
27.3743,0,0
25.9705,0,0
24.4904,0,0
22.9187,0,0
21.0571,0,0
17.7917,0,0
14.3433,0,0
12.2681,0,0
11.8408,0,0
12.8021,0,0
15.7013,0,0
17.9749,0,0
19.4092,0,0
21.637,0,0
23.7732,0,0
25.3754,0,0
26.2909,0,0
24.9329,0,0
21.8964,0,0
19.455,0,0
17.5934,0,0
16.6931,0,0
16.51,0,0
16.1743,0,0
15.8234,0,0
16.0065,0,0
16.449,0,0
17.9596,0,0
18.7988,0,0
19.3787,0,0
18.8446,0,0
17.2577,0,0
15.8539,0,0
15.7776,0,0
17.2424,0,0
