ms,microvolts,trialstart,oddball
0,19.165,5,0
3.33333E-05,19.165,5,0
6.66667E-05,20.6604,5,0
0.0001,20.6604,5,0
0.000133333,20.8282,5,0
0.000166667,20.8282,5,0
0.0002,20.1416,5,0
0.000233333,20.1416,5,0
0.000266667,18.1732,5,0
0.0003,18.1732,5,0
0.000333333,14.801,5,0
0.000366667,14.801,5,0
0.0004,11.795,5,0
0.000433333,11.795,5,0
0.000466667,9.82666,5,0
0.0005,9.82666,5,0
0.000533333,8.37708,5,0
0.000566667,8.37708,5,0
0.0006,7.96509,5,0
0.000633333,7.96509,5,0
0.000666667,7.8125,5,0
0.0007,7.8125,5,0
0.000733333,7.47681,5,0
0.000766667,7.47681,5,0
0.0008,7.53784,5,0
0.000833333,7.53784,5,0
0.000866667,8.23975,5,0
0.0009,8.23975,5,0
0.000933333,9.44519,5,0
0.000966667,9.44519,5,0
0.001,9.96399,5,0
0.00103333,9.96399,5,0
0.00106667,9.85718,5,0
0.0011,9.85718,5,0
0.00113333,7.88879,5,0
0.00116667,7.88879,5,0
0.0012,6.11877,5,0
